period,term,count,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
pre,color_matching,8,-0.029827838763594627,0.05730948597192764,0.026017621159553528,0.005159178748726845,0.031280163675546646,-0.1422416865825653,-0.09335419535636902,-0.10929848253726959
pre,fracture_toughness,8,-0.026807740330696106,0.01033370103687048,-0.01669931598007679,0.04015308618545532,0.01075062621384859,-0.12146316468715668,-0.06548668444156647,-0.05997824668884277
pre,matching_color,8,-0.01576201803982258,0.052894867956638336,0.01629488170146942,0.004253045190125704,0.037395354360342026,-0.10613885521888733,-0.08811472356319427,-0.05645042657852173
pre,shade_matching,8,-0.037694577127695084,0.03886830434203148,-0.02324184961616993,0.01665523461997509,0.023488394916057587,-0.13133084774017334,-0.03560963273048401,-0.07353098690509796
pre,article_text,4,-0.04347985237836838,0.06514447927474976,0.018825454637408257,-0.008781928569078445,0.032760750502347946,-0.08511772751808167,-0.08829399943351746,-0.0968421921133995
pre,bridge_shade,4,-0.019551599398255348,0.01958617754280567,0.028224531561136246,0.0203339084982872,0.017868496477603912,-0.03863489255309105,-0.02231517992913723,-0.04951604828238487
pre,ceramic_testing,8,-0.018595462664961815,0.03059989959001541,-0.019678710028529167,0.0131675461307168,0.04390822350978851,-0.17164213955402374,-0.04907997325062752,-0.0692681148648262
pre,clinical_restoration,8,0.022828053683042526,8.168751082848758e-05,0.0033051760401576757,0.017234589904546738,0.0073176054283976555,-0.0652221068739891,-0.055703695863485336,-0.048040904104709625
pre,composite_optical,4,-0.02984689176082611,-0.007484357804059982,-0.02598833106458187,0.009991021826863289,-0.014976896345615387,-0.08584577590227127,-0.012222591787576675,-0.019461246207356453
pre,contain_copyright,4,-0.02392623759806156,0.035861559212207794,0.031154271215200424,-0.026865128427743912,-0.024083271622657776,-0.10610650479793549,-0.06127793341875076,-0.07850871980190277
pre,copyright_article,4,-0.001980874687433243,0.0215555839240551,-0.012812602333724499,-0.0032962197437882423,-0.0060625639744102955,-0.11118865013122559,-0.02501031570136547,-0.06537272781133652
pre,crack_bridge,4,-0.03747602179646492,-0.004600551910698414,0.03270421922206879,-0.013579617254436016,0.03296033293008804,-0.11699136346578598,-0.06616401672363281,-0.08157806098461151
post,color_matching,8,0.052346184849739075,0.03965690732002258,0.03517661243677139,0.05099652335047722,0.06415828317403793,-0.07686033844947815,-0.017760440707206726,-0.0560138113796711
post,fracture_toughness,8,0.024651383981108665,0.03805271163582802,0.024359723553061485,0.05107298120856285,0.028699034824967384,-0.0330769307911396,-0.027728423476219177,-0.04983585700392723
post,matching_color,8,0.09263862669467926,0.03720797970890999,0.0048063453286886215,0.09507044404745102,0.03296748548746109,-0.07779312878847122,0.030136821791529655,-0.08374162763357162
post,shade_matching,8,0.04394011199474335,-0.003136931685730815,-0.01642771065235138,0.05318038910627365,0.05628732591867447,-0.08205047249794006,0.025734758004546165,-0.03371608257293701
post,article_text,4,0.06721759587526321,0.028142394497990608,0.00860677007585764,0.039477571845054626,0.0027366210706532,-0.07264788448810577,-0.00980253517627716,-0.08998867124319077
post,bridge_shade,4,-0.0014301205519586802,0.022466178983449936,-0.02692265994846821,-0.0011147127952426672,0.018834494054317474,-0.0073778810910880566,-0.0011823056265711784,0.0010466263629496098
post,ceramic_testing,4,0.05590279400348663,0.02007964625954628,-0.018609285354614258,0.004735239781439304,0.01738961786031723,-0.026099519804120064,-0.03179924935102463,-0.025704631581902504
post,clinical_restoration,4,-0.003401324385777116,0.034385621547698975,0.017244869843125343,0.01145950984209776,0.03392070159316063,-0.0049689277075231075,-0.03217226639389992,-0.05794414132833481
post,composite_optical,4,0.01055536512285471,-0.02431626059114933,-0.0187081266194582,0.05429116636514664,0.009181231260299683,-0.02638190984725952,-0.0029446789994835854,-0.010504990816116333
post,contain_copyright,4,0.0857236385345459,0.005908910650759935,0.04567261412739754,0.08690737932920456,0.02562400884926319,-0.06423059105873108,0.006612288765609264,-0.052959877997636795
post,copyright_article,4,0.08489828556776047,-0.014788397587835789,-0.01816665194928646,0.0758301243185997,0.025288809090852737,-0.05979028344154358,-0.0030118117574602365,-0.07216106355190277
post,crack_bridge,4,0.05532785505056381,-0.012122374959290028,0.006398003548383713,0.040528684854507446,0.017688434571027756,-0.03318199887871742,-0.02527603507041931,-0.03822372108697891
